===== Table S12A base 10yr
Table S12.A. Regression coefficients* for 10 year cardiovascular risks models - PREVENT Base model |  |  |  |  |  |  |  |  |  |  | 
 | Total CVD |  | ASCVD |  | Heart Failure |  | Coronary Heart Disease |  | Stroke |  | 
Beta coefficients | Women | Men | Women | Men | Women | Men | Women | Men | Women | Men | 
R-square | 0.9994 | 0.9985 | 0.9993 | 0.9981 | 0.9994 | 0.9989 | 0.9993 | 0.9981 | 0.9992 | 0.9981
Centered at age 55, non-HDLC 3.5, HDLC 1.3, SBP 130, BMI 25, eGFR 90, no DM,  non-smoker, no medication used, HbA1c 5.3 |  |  |  |  |  |  |  |  |  | 
*Dependent variable is the log-odds of the risk (log of risk /(1-risk)). Appendix 4 provides the details of the computation, including the algebra for creating piece-wise linear splines (SBP, BMI, and eGFR). Beta coefficients in the table can be interpreted as log odds ratios.   |  |  |  |  |  |  |  |  |  | 
Linear regression of base PREVENT model (Y) on this enhanced model (X) when the enhanced risk prediciton variables are set to missing  |  |  |  |  |  |  |  |  |  | 
beta | 1.0688 | 1.0198 | 1.0685 | 1.0349 | 1.0365 | 1.0228 | 1.0445 | 1.0751 | 1.0585 | 1.0245
R-square | 0.9858 | 0.9895 | 0.9908 | 0.9908 | 0.9718 | 0.9824 | 0.989 | 0.991 | 0.9896 | 0.9901
===== Table S12F base 30yr
Table S12.F. Regression coefficients* for 30 year cardiovascular risks models - PREVENT Base model |  |  |  |  |  |  |  |  |  |  |  | 
 | Total CVD |  | ASCVD |  | Heart Failure |  | Coronary Heart Disease |  | Stroke |  |  | 
Beta coefficients | Women | Men | Women | Men | Women | Men | Women | Men | Women | Men |  | 
Age, 10 years | 0.5503079 | 0.4627309 | 0.4669202 | 0.3994099 | 0.6254374 | 0.5681541 | 0.4912423 | 0.4171209 | 0.4366978 | 0.4003448 | -0.5 | -0.27515395
Age squared | -0.0928369 | -0.0984281 | -0.0893118 | -0.0937484 | -0.0983038 | -0.1048388 | -0.0917078 | -0.0949994 | -0.0873673 | -0.0935927 |  | 
non-HDL-C per 1 mmol/L | 0.0409794 | 0.0836088 | 0.1256901 | 0.1744643 |  |  | 0.1878256 | 0.2651913 | 0.0586334 | 0.0309419 | 0.5083000000000002 | 0.020829829020000006
HDL-C per 0.3 mmol/L | -0.1663306 | -0.1029824 | -0.1542255 | -0.120203 |  |  | -0.2035703 | -0.1879446 | -0.1069016 | -0.0280763 | -0.45433333333333364 | 0.07556953593333338
SBP <110 per 20 mmHg | -0.1628654 | -0.2140352 | -0.0018093 | -0.0665117 | -0.3919241 | -0.4761564 | -0.0030222 | -0.0971746 | -0.0317106 | -0.047704 | 0 | 0
SBP ≥110 per 20 mmHg | 0.3299505 | 0.2904325 | 0.322949 | 0.2753037 | 0.3142295 | 0.30324 | 0.3111757 | 0.258931 | 0.3272741 | 0.2925734 | 1.5 | 0.49492574999999994
Diabetes | 0.6793894 | 0.5331276 | 0.6296707 | 0.4790257 | 0.8330787 | 0.6840338 | 0.6803247 | 0.4956463 | 0.5841726 | 0.4236823 | 1 | 0.6793894
Current smoking | 0.3196112 | 0.2141914 | 0.268292 | 0.1782635 | 0.3438651 | 0.2656273 | 0.3215313 | 0.1728844 | 0.2045681 | 0.1675238 | 0 | 0
BMI <30, per 5 kg/m2 |  |  |  |  | 0.0594874 | 0.0833107 |  |  |  |  |  | 
BMI 30+, per 5 kg/m2 |  |  |  |  | 0.2525536 | 0.26999 |  |  |  |  |  | 
eGFR <60, per -15 ml | 0.1857101 | 0.1155556 | 0.100106 | -0.0218789 | 0.2981642 | 0.2541805 | 0.1252615 | -0.0091955 | 0.0765812 | -0.0009216 | 0 | 0
eGFR 60+, per -15 ml | 0.0553528 | 0.0603775 | 0.0499663 | 0.0602553 | 0.0667159 | 0.0638923 | 0.0414579 | 0.0578155 | 0.0603226 | 0.0575221 | 0 | 0
Anti-hypertensive use | 0.2894 | 0.232714 | 0.1875292 | 0.1421182 | 0.333921 | 0.2583631 | 0.1561303 | 0.0939196 | 0.2087816 | 0.1685514 | 1 | 0.2894
Statin use | -0.075688 | -0.0272112 | 0.0152476 | 0.0135996 |  |  | 0.0384138 | 0.0508921 | -0.0095137 | -0.020829 | 0 | 0
Treated SBP ≥110 mm Hg per 20 mm Hg | -0.056367 | -0.0384488 | -0.0276123 | -0.0218265 | -0.0893177 | -0.0391938 | -0.0795531 | -0.0486024 | 0.0014436 | 0.0230042 | 1.5 | -0.0845505
Treated non-HDL-C | 0.1071019 | 0.134192 | 0.0736147 | 0.1013148 |  |  | 0.0635262 | 0.0669478 | 0.0720012 | 0.1413652 | 0 | 0
Age per 10yr * non-HDL-C per 1 mmol/L | -0.0751438 | -0.0511759 | -0.0521962 | -0.0312619 |  |  | -0.0637665 | -0.0533361 | -0.0361779 | 0.0145411 | -0.2541500000000001 | 0.019097796770000005
Age per 10yr * HDL-C per 1 mml/L | 0.0301786 | 0.0165865 | 0.0316918 | 0.020673 |  |  | 0.0474074 | 0.0461425 | 0.015888 | -0.0149606 | 0.22716666666666682 | 0.006855571966666672
Age per 10yr * SBP ≥110 mm Hg per 20 mmHg | -0.0998776 | -0.1101437 | -0.1046101 | -0.0920935 | -0.0974299 | -0.1269124 | -0.0876484 | -0.0812234 | -0.1179062 | -0.1118468 | -0.75 | 0.0749082
Age per 10yr * diabetes | -0.3206166 | -0.2585943 | -0.2727793 | -0.2159947 | -0.404855 | -0.3273572 | -0.2803099 | -0.216315 | -0.2710221 | -0.2152953 | -0.5 | 0.1603083
Age per 10yr * current smoking | -0.1607862 | -0.1566406 | -0.1530907 | -0.1548811 | -0.1982991 | -0.2043019 | -0.1513626 | -0.1749197 | -0.1702836 | -0.1339295 | 0 | 0
Age per 10yr * BMI 30+ per 5 kg/m2 |  |  |  |  | -0.0035619 | -0.0182831 |  |  |  |  |  | 
Age per 10yr * eGFR <60, per -15 ml | -0.1450788 | -0.1166776 | -0.1299149 | -0.0712547 | -0.1564215 | -0.1342618 | -0.1130454 | -0.0241467 | -0.1320992 | -0.1225081 | 0 | 0
Constant | -1.318827 | -1.148204 | -1.974074 | -1.736444 | -2.205379 | -1.95751 | -2.733866 | -2.376762 | -2.62078 | -2.458022 | 1 | -1.318827
R-square | 0.9928 | 0.9789 | 0.9925 | 0.9762 | 0.9945 | 0.9885 | 0.9935 | 0.9795 | 0.9921 | 0.976 |  | 0.1427529336900002
Centered at age 55, non-HDLC 3.5, HDLC 1.3, SBP 130, BMI 25, eGFR 90, no DM,  non-smoker, no medication used |  |  |  |  |  |  |  |  |  |  |  | 0.5356277509149567
*Dependent variable is the log-odds of the risk (log of risk /(1-risk)). Appendix 4 provides the details of the computation, including the algebra for creating piece-wise linear splines (SBP, BMI, and eGFR). Beta coefficients in the table can be interpreted as log odds ratios.   |  |  |  |  |  |  |  |  |  |  |  | 
===== Table S12G ACR 30yr
Table S12.G. Regression coefficients* for 30 year cardiovascular risks models - PREVENT Enhanced for ACR |  |  |  |  |  |  |  |  |  | 
 | Total CVD |  | ASCVD |  | Heart Failure |  | Coronary Heart Disease |  | Stroke | 
Beta coefficients | Women | Men | Women | Men | Women | Men | Women | Men | Women | Men
Age, 10 years | 0.5491768 | 0.464491 | 0.4629669 | 0.3995607 | 0.6319513 | 0.5750236 | 0.4898341 | 0.420671 | 0.4354844 | 0.4058962
Age squared | -0.0937311 | -0.0998895 | -0.0902777 | -0.094557 | -0.1009284 | -0.1062268 | -0.0926865 | -0.0959158 | -0.0881545 | -0.0942566
non-HDL-C per 1 mmol/L | 0.0359847 | 0.0757606 | 0.1215214 | 0.1686692 |  |  | 0.1833508 | 0.2588159 | 0.0550003 | 0.0258703
HDL-C per 0.3 mmol/L | -0.1642965 | -0.1031778 | -0.1522069 | -0.1202145 |  |  | -0.201611 | -0.1879718 | -0.1048457 | -0.0290019
SBP <110 per 20 mmHg | -0.1483404 | -0.1990714 | 0.0092679 | -0.0555561 | -0.3787175 | -0.4633994 | 0.0091108 | -0.0865129 | -0.0207028 | -0.0374802
SBP ≥110 per 20 mmHg | 0.313353 | 0.2715816 | 0.3113609 | 0.2633566 | 0.2863393 | 0.2742874 | 0.2981863 | 0.2477111 | 0.3165286 | 0.2801207
Diabetes | 0.6253766 | 0.4754637 | 0.581256 | 0.4362036 | 0.7631221 | 0.612208 | 0.6378172 | 0.4587997 | 0.530582 | 0.3729179
Current smoking | 0.3147172 | 0.2069672 | 0.263167 | 0.1716233 | 0.3355843 | 0.2614987 | 0.3162011 | 0.1677282 | 0.2019636 | 0.1649756
BMI <30, per 5 kg/m2 |  |  |  |  | 0.0677084 | 0.0895459 |  |  |  | 
BMI 30+, per 5 kg/m2 |  |  |  |  | 0.2517238 | 0.2632424 |  |  |  | 
eGFR <60, per -15 ml | 0.1094663 | 0.0331103 | 0.0391726 | -0.0775282 | 0.1940067 | 0.1430472 | 0.0561023 | -0.0654866 | 0.0218821 | -0.0538202
eGFR 60+, per -15 ml | 0.0550705 | 0.0540474 | 0.0492959 | 0.0561236 | 0.0664006 | 0.0535184 | 0.0412012 | 0.0537308 | 0.059055 | 0.0524689
Anti-hypertensive use | 0.2782433 | 0.2189911 | 0.1786178 | 0.1319331 | 0.3171436 | 0.2417468 | 0.1482267 | 0.0861796 | 0.1982863 | 0.15643
Statin use | -0.0786239 | -0.0331044 | 0.0131058 | 0.0102428 |  |  | 0.0374798 | 0.0482722 | -0.0133205 | -0.0248041
Treated SBP ≥110 mm Hg per 20 mm Hg | -0.0628947 | -0.04534 | -0.0325135 | -0.0269294 | -0.0970661 | -0.0498574 | -0.0857793 | -0.0537927 | -0.0017964 | 0.0189905
Treated non-HDL-C | 0.093204 | 0.1214535 | 0.0617093 | 0.0920557 |  |  | 0.0509371 | 0.0580566 | 0.0614446 | 0.1305961
Age per 10yr * non-HDL-C per 1 mmol/L | -0.0710685 | -0.0483995 | -0.0489189 | -0.0297021 |  |  | -0.0599687 | -0.0520054 | -0.0331901 | 0.016562
Age per 10yr * HDL-C per 1 mml/L | 0.0306363 | 0.0178997 | 0.0321079 | 0.0217935 |  |  | 0.0481562 | 0.047197 | 0.0162855 | -0.0136888
Age per 10yr * SBP ≥110 mm Hg per 20 mmHg | -0.0951455 | -0.1059324 | -0.1003185 | -0.0893347 | -0.0896239 | -0.1193827 | -0.0829556 | -0.0783965 | -0.1139342 | -0.1080585
Age per 10yr * diabetes | -0.3168231 | -0.2492861 | -0.2684574 | -0.2081467 | -0.400743 | -0.316651 | -0.2759708 | -0.2085875 | -0.2664475 | -0.2046359
Age per 10yr * current smoking | -0.1636391 | -0.1561543 | -0.1547301 | -0.1542716 | -0.2042041 | -0.2046122 | -0.1535672 | -0.1733514 | -0.1700553 | -0.1311197
Age per 10yr * BMI 30+ per 5 kg/m2 |  |  |  |  | -0.0054699 | -0.0216878 |  |  |  | 
Age per 10yr * eGFR <60, per -15 ml | -0.1265483 | -0.1012429 | -0.1130703 | -0.0597254 | -0.13602 | -0.1165637 | -0.0957183 | -0.0129715 | -0.1177106 | -0.1122139
ln-ACR, mg/g, per 1 ln unit | 0.1142251 | 0.1007571 | 0.0903471 | 0.0684872 | 0.1486028 | 0.1366452 | 0.0979522 | 0.0609433 | 0.0806194 | 0.0793756
Missing ACR/PCR/Dipstick | -0.0055863 | 0.0572456 | -0.0145818 | 0.0193962 | 0.011608 | 0.1078355 | 0.0128614 | 0.0324875 | -0.0490149 | 0.0025522
Constant | -1.583738 | -1.398727 | -2.178888 | -1.873449 | -2.538952 | -2.314872 | -2.958872 | -2.505263 | -2.780053 | -2.619781
R-square | 0.9914 | 0.9761 | 0.9913 | 0.9739 | 0.9932 | 0.9863 | 0.9925 | 0.9777 | 0.9908 | 0.9741
Centered at age 55, non-HDLC 3.5, HDLC 1.3, SBP 130, BMI 25, eGFR 90, no DM,  non-smoker, no medication used |  |  |  |  |  |  |  |  |  | 
*Dependent variable is the log-odds of the risk (log of risk /(1-risk)). Appendix 4 provides the details of the computation, including the algebra for creating piece-wise linear splines (SBP, BMI, and eGFR). Beta coefficients in the table can be interpreted as log odds ratios.   |  |  |  |  |  |  |  |  |  | 
Linear regression of base PREVENT model (Y) on this enhanced model (X) when the enhanced risk prediciton variables are set to missing  |  |  |  |  |  |  |  |  |  | 
beta | 1.028 | 1.0184 | 1.038 | 1.0107 | 1.0122 | 1.0027 | 1.0158 | 0.9983 | 1.0507 | 1.0188
R-square | 0.6723 | 0.9983 | 0.9995 | 0.9988 | 0.4062 | 0.997 | 0.9992 | 0.9988 | 0.9993 | 0.9986
===== Table S12H A1c 30yr
Table S12.H. Regression coefficients* for 30 year cardiovascular risks models - PREVENT Enhanced for HbA1c |  |  |  |  |  |  |  |  |  | 
 | Total CVD |  | ASCVD |  | Heart Failure |  | Coronary Heart Disease |  | Stroke | 
Beta coefficients | Women | Men | Women | Men | Women | Men | Women | Men | Women | Men
Age, 10 years | 0.5343493 | 0.4519873 | 0.4555574 | 0.3883267 | 0.6210856 | 0.5703729 | 0.4853187 | 0.3944508 | 0.4296679 | 0.397402
Age squared | -0.0952314 | -0.101624 | -0.0903501 | -0.0958114 | -0.1000972 | -0.1084544 | -0.0929654 | -0.0956857 | -0.0883118 | -0.0953425
non-HDL-C per 1 mmol/L | 0.0298124 | 0.0700456 | 0.1148321 | 0.1613374 |  |  | 0.1733152 | 0.2519365 | 0.0487321 | 0.0180202
HDL-C per 0.3 mmol/L | -0.1578451 | -0.0968005 | -0.1458754 | -0.1144418 |  |  | -0.1929452 | -0.181881 | -0.1001406 | -0.0242534
SBP <110 per 20 mmHg | -0.1504488 | -0.1923527 | 0.0089323 | -0.0474338 | -0.3773697 | -0.4471767 | 0.0092228 | -0.0829203 | -0.0199947 | -0.0283414
SBP ≥110 per 20 mmHg | 0.3173368 | 0.2827043 | 0.3139029 | 0.2691281 | 0.295316 | 0.2910152 | 0.298244 | 0.2534596 | 0.3198382 | 0.2870641
Diabetes | 0.4314738 | 0.3417152 | 0.386281 | 0.2859773 | 0.5681692 | 0.4507242 | 0.4210289 | 0.3298202 | 0.3270964 | 0.1894407
Current smoking | 0.3209399 | 0.2105272 | 0.2714309 | 0.1759553 | 0.3449139 | 0.259585 | 0.3254237 | 0.1773379 | 0.2039542 | 0.1632278
BMI <30, per 5 kg/m2 |  |  |  |  | 0.0540094 | 0.0850676 |  |  |  | 
BMI 30+, per 5 kg/m2 |  |  |  |  | 0.249767 | 0.2637222 |  |  |  | 
eGFR <60, per -15 ml | 0.1771435 | 0.1113291 | 0.0930987 | -0.0242898 | 0.2875781 | 0.2454706 | 0.1183472 | -0.0059506 | 0.0699052 | -0.0027618
eGFR 60+, per -15 ml | 0.0582828 | 0.0640135 | 0.0532216 | 0.0644523 | 0.0692013 | 0.0675649 | 0.0462805 | 0.0625623 | 0.062555 | 0.0605617
Anti-hypertensive use | 0.2888947 | 0.2334248 | 0.1862181 | 0.142874 | 0.3334936 | 0.2611991 | 0.1565331 | 0.0960268 | 0.2080978 | 0.1700368
Statin use | -0.0795886 | -0.0299421 | 0.0106964 | 0.0115062 |  |  | 0.033512 | 0.0489115 | -0.0142009 | -0.0256155
Treated SBP ≥110 mm Hg per 20 mm Hg | -0.0600438 | -0.0393204 | -0.0329713 | -0.02333 | -0.0922339 | -0.0408908 | -0.0866143 | -0.050231 | -0.0029543 | 0.0201099
Treated non-HDL-C | 0.0920598 | 0.1228854 | 0.0583609 | 0.0899664 |  |  | 0.0468497 | 0.0573554 | 0.0574525 | 0.1281684
Age per 10yr * non-HDL-C per 1 mmol/L | -0.0696108 | -0.0463737 | -0.0463273 | -0.0275478 |  |  | -0.0564555 | -0.0498819 | -0.0315382 | 0.0185524
Age per 10yr * HDL-C per 1 mml/L | 0.0308807 | 0.0184599 | 0.0324717 | 0.022573 |  |  | 0.0481034 | 0.0479144 | 0.0166448 | -0.0127335
Age per 10yr * SBP ≥110 mm Hg per 20 mmHg | -0.0954051 | -0.1085744 | -0.1004777 | -0.090802 | -0.0907885 | -0.1241051 | -0.0819801 | -0.0796665 | -0.114502 | -0.1105848
Age per 10yr * diabetes | -0.2763408 | -0.2208049 | -0.2266944 | -0.1771894 | -0.3554646 | -0.2849461 | -0.2264933 | -0.1822839 | -0.2298924 | -0.1744077
Age per 10yr * current smoking | -0.1623944 | -0.1577978 | -0.1541859 | -0.1548847 | -0.2008846 | -0.2032308 | -0.153584 | -0.1744951 | -0.170899 | -0.1333941
Age per 10yr * BMI 30+ per 5 kg/m2 |  |  |  |  | -0.0079611 | -0.0239714 |  |  |  | 
Age per 10yr * eGFR <60, per -15 ml | -0.1430514 | -0.1179375 | -0.1286005 | -0.0732754 | -0.156803 | -0.138301 | -0.1122738 | -0.0259456 | -0.1307433 | -0.1254591
HbA1c in DM, per 1% | 0.0940543 | 0.0768169 | 0.0875827 | 0.0591089 | 0.1448336 | 0.1101184 | 0.134395 | 0.0695636 | 0.0457624 | 0.0500544
HbA1c no DM, per 1% | 0.1116486 | 0.0777295 | 0.1126417 | 0.0821158 | 0.1277838 | 0.0949198 | 0.1270458 | 0.0707541 | 0.1056467 | 0.0917727
Missing HbA1c | -0.0024798 | 0.0092204 | 0.0124356 | 0.0179755 | -0.0022589 | 0.0084192 | 0.0374905 | 0.0491596 | -0.017081 | -0.0311993
Constant | -1.341059 | -1.180767 | -2.011533 | -1.777708 | -2.193553 | -1.974999 | -2.802642 | -2.48433 | -2.618396 | -2.438154
R-square | 0.9918 | 0.977 | 0.9918 | 0.9744 | 0.9938 | 0.9874 | 0.9929 | 0.9776 | 0.9914 | 0.975
Centered at age 55, non-HDLC 3.5, HDLC 1.3, SBP 130, BMI 25, eGFR 90, no DM,  non-smoker, no medication used |  |  |  |  |  |  |  |  |  | 
*Dependent variable is the log-odds of the risk (log of risk /(1-risk)). Appendix 4 provides the details of the computation, including the algebra for creating piece-wise linear splines (SBP, BMI, and eGFR). Beta coefficients in the table can be interpreted as log odds ratios.   |  |  |  |  |  |  |  |  |  | 
Linear regression of base PREVENT model (Y) on this enhanced model (X) when the enhanced risk prediciton variables are set to missing  |  |  |  |  |  |  |  |  |  | 
beta | 1.0343 | 1.0246 | 1.0394 | 1.0367 | 1.0132 | 1.0056 | 1.0465 | 1.0861 | 1.028 | 1.0166
R-square | 0.6703 | 0.9977 | 0.9957 | 0.9971 | 0.4087 | 0.9974 | 0.9932 | 0.9978 | 0.9944 | 0.9958
===== Table S12I SDI 30yr
Table S12.I. Regression coefficients* for 30 year cardiovascular risks models - PREVENT Enhanced for SDI |  |  |  |  |  |  |  |  |  | 
 | Total CVD |  | ASCVD |  | Heart Failure |  | Coronary Heart Disease |  | Stroke | 
Beta coefficients | Women | Men | Women | Men | Women | Men | Women | Men | Women | Men
Age, 10 years | 0.5124233 | 0.437377 | 0.4396545 | 0.3749788 | 0.5919097 | 0.5387527 | 0.4784682 | 0.3865174 | 0.4233798 | 0.3727634
Age squared | -0.0978159 | -0.104443 | -0.0918489 | -0.0990063 | -0.1023133 | -0.1090333 | -0.0949639 | -0.0992772 | -0.0903496 | -0.0968343
non-HDL-C per 1 mmol/L | 0.0322131 | 0.0812573 | 0.1132729 | 0.1708505 |  |  | 0.1674501 | 0.2645934 | 0.0520837 | 0.0212833
HDL-C per 0.3 mmol/L | -0.1717884 | -0.1069199 | -0.1544977 | -0.1272841 |  |  | -0.2114148 | -0.1979722 | -0.1062861 | -0.0320627
SBP <110 per 20 mmHg | -0.1364536 | -0.2786727 | 0.036315 | -0.1275555 | -0.3864727 | -0.4829094 | 0.0615055 | -0.2006683 | -0.0125236 | -0.0508137
SBP ≥110 per 20 mmHg | 0.3074443 | 0.2729256 | 0.3049229 | 0.2659339 | 0.301876 | 0.2843569 | 0.3002582 | 0.253011 | 0.3097278 | 0.2836198
Diabetes | 0.6709275 | 0.5279006 | 0.6344794 | 0.4676531 | 0.8162909 | 0.6827667 | 0.6732723 | 0.5076949 | 0.5894313 | 0.3944883
Current smoking | 0.2897728 | 0.1878949 | 0.234514 | 0.1610104 | 0.3449647 | 0.2406677 | 0.2797966 | 0.1515368 | 0.1937933 | 0.1687114
BMI <30, per 5 kg/m2 |  |  |  |  | 0.0574975 | 0.0618028 |  |  |  | 
BMI 30+, per 5 kg/m2 |  |  |  |  | 0.2367826 | 0.2705615 |  |  |  | 
eGFR <60, per -15 ml | 0.1670658 | 0.0866569 | 0.0898312 | -0.0465144 | 0.2790347 | 0.2255837 | 0.1137308 | -0.0358612 | 0.06519 | -0.0124821
eGFR 60+, per -15 ml | 0.0618439 | 0.0594948 | 0.0564502 | 0.0596996 | 0.0742645 | 0.0653632 | 0.042602 | 0.0544152 | 0.0674916 | 0.0633358
Anti-hypertensive use | 0.2969806 | 0.2028246 | 0.1933487 | 0.1147096 | 0.3352935 | 0.2263243 | 0.1694184 | 0.0561007 | 0.2042876 | 0.186366
Statin use | -0.0665514 | -0.0308404 | 0.0220467 | 0.0052906 |  |  | 0.0340437 | 0.0267945 | -0.0019616 | -0.0084542
Treated SBP ≥110 mm Hg per 20 mm Hg | -0.0458917 | -0.0283679 | -0.0229229 | -0.0186687 | -0.0772532 | -0.0316851 | -0.0699033 | -0.0526596 | 0.0026075 | 0.0248928
Treated non-HDL-C | 0.1168505 | 0.1439353 | 0.0903326 | 0.1063151 |  |  | 0.0981533 | 0.0780779 | 0.0815854 | 0.1459343
Age per 10yr * non-HDL-C per 1 mmol/L | -0.0770419 | -0.0510854 | -0.0579383 | -0.0307797 |  |  | -0.0686288 | -0.056841 | -0.0414664 | 0.0213704
Age per 10yr * HDL-C per 1 mml/L | 0.027634 | 0.0150236 | 0.0274011 | 0.0218126 |  |  | 0.0453879 | 0.0482751 | 0.0120676 | -0.0146372
Age per 10yr * SBP ≥110 mm Hg per 20 mmHg | -0.0992045 | -0.1095448 | -0.1039749 | -0.0898242 | -0.0995144 | -0.1258716 | -0.0871571 | -0.079012 | -0.1169076 | -0.1097247
Age per 10yr * diabetes | -0.3208137 | -0.2561109 | -0.2785102 | -0.210054 | -0.4000423 | -0.3243709 | -0.2814693 | -0.2168168 | -0.2763132 | -0.1980543
Age per 10yr * current smoking | -0.134847 | -0.1282945 | -0.1167267 | -0.1246327 | -0.1770335 | -0.1596172 | -0.1043265 | -0.1342293 | -0.1284758 | -0.1022135
Age per 10yr * BMI 30+ per 5 kg/m2 |  |  |  |  | 0.0083046 | -0.0103092 |  |  |  | 
Age per 10yr * eGFR <60, per -15 ml | -0.1399842 | -0.1011023 | -0.1269382 | -0.0629358 | -0.149585 | -0.1204785 | -0.1106839 | -0.0099119 | -0.1284556 | -0.120455
SDI decile categories 4-6 vs. 1-3 | 0.1129725 | 0.0314626 | 0.1149139 | 0.0199201 | 0.0960646 | 0.0680528 | 0.1382642 | 0.025501 | 0.0773125 | 0.0354645
SDI decile categories 7-10 vs. 1-3 | 0.1975843 | 0.2003953 | 0.1976537 | 0.194949 | 0.1987543 | 0.2619865 | 0.1991519 | 0.1560926 | 0.1750215 | 0.2451115
Missing SDI | 0.1627381 | 0.0927451 | 0.1391241 | 0.0863835 | 0.1562214 | 0.1151424 | 0.1338539 | 0.0400473 | 0.115797 | 0.135502
Constant | -1.493211 | -1.251031 | -2.116951 | -1.836632 | -2.317899 | -2.060187 | -2.860998 | -2.459219 | -2.714965 | -2.609552
R-square | 0.992 | 0.9744 | 0.9919 | 0.9711 | 0.994 | 0.9862 | 0.9931 | 0.9752 | 0.9914 | 0.9717
Centered at age 55, non-HDLC 3.5, HDLC 1.3, SBP 130, BMI 25, eGFR 90, no DM,  non-smoker, no medication used |  |  |  |  |  |  |  |  |  | 
*Dependent variable is the log-odds of the risk (log of risk /(1-risk)). Appendix 4 provides the details of the computation, including the algebra for creating piece-wise linear splines (SBP, BMI, and eGFR). Beta coefficients in the table can be interpreted as log odds ratios.   |  |  |  |  |  |  |  |  |  | 
Linear regression of base PREVENT model (Y) on this enhanced model (X) when the enhanced risk prediciton variables are set to missing  |  |  |  |  |  |  |  |  |  | 
beta | 1.0774 | 1.0584 | 1.0476 | 1.061 | 1.0455 | 1.0622 | 1.024 | 1.0914 | 1.0142 | 1.0442
R-square | 0.9974 | 0.9966 | 0.9977 | 0.9957 | 0.9989 | 0.9981 | 0.9977 | 0.9919 | 0.9982 | 0.9965
===== Table S12J full 30yr
Table S12.J. Regression coefficients* for 30 year cardiovascular risks models - PREVENT Enhanced for all novel variables |  |  |  |  |  |  |  |  |  | 
 | Total CVD |  | ASCVD |  | Heart Failure |  | Coronary Heart Disease |  | Stroke | 
Beta coefficients | Women | Men | Women | Men | Women | Men | Women | Men | Women | Men
Age, 10 years | 0.5073749 | 0.4427595 | 0.4386739 | 0.3743566 | 0.5927507 | 0.5478829 | 0.47488 | 0.3858298 | 0.4203891 | 0.3762751
Age squared | -0.0981751 | -0.1064108 | -0.0921956 | -0.0995499 | -0.1028754 | -0.1111928 | -0.0950733 | -0.0994131 | -0.0903905 | -0.0974722
non-HDL-C per 1 mmol/L | 0.0162303 | 0.0629381 | 0.0977728 | 0.1544808 |  |  | 0.1472475 | 0.2479637 | 0.0383085 | 0.005415
HDL-C per 0.3 mmol/L | -0.1617147 | -0.1015427 | -0.1453525 | -0.1215297 |  |  | -0.1993519 | -0.1913328 | -0.0989622 | -0.0287694
SBP <110 per 20 mmHg | -0.1111241 | -0.2542326 | 0.0590925 | -0.1083968 | -0.3593781 | -0.4547346 | 0.085684 | -0.1837089 | 0.0088016 | -0.036424
SBP ≥110 per 20 mmHg | 0.282946 | 0.2549679 | 0.2862862 | 0.2555179 | 0.2628556 | 0.2527602 | 0.2781393 | 0.2417551 | 0.2940083 | 0.2733756
Diabetes | 0.4004069 | 0.333835 | 0.3669136 | 0.2696998 | 0.5113472 | 0.4385384 | 0.3939798 | 0.3599971 | 0.323036 | 0.1287781
Current smoking | 0.2918701 | 0.1873833 | 0.2354695 | 0.1628432 | 0.347344 | 0.2397952 | 0.2832155 | 0.1581048 | 0.1925302 | 0.1683627
BMI <30, per 5 kg/m2 |  |  |  |  | 0.0564656 | 0.0640931 |  |  |  | 
BMI 30+, per 5 kg/m2 |  |  |  |  | 0.2363857 | 0.2643081 |  |  |  | 
eGFR <60, per -15 ml | 0.1017102 | 0.0246102 | 0.0354338 | -0.077507 | 0.1971295 | 0.1354588 | 0.0585928 | -0.0707959 | 0.0206737 | -0.0386502
eGFR 60+, per -15 ml | 0.0622643 | 0.0552014 | 0.0573093 | 0.0583407 | 0.0735227 | 0.0570689 | 0.0452655 | 0.054403 | 0.0672637 | 0.0596336
Anti-hypertensive use | 0.2872416 | 0.1979729 | 0.1840085 | 0.1120322 | 0.3219386 | 0.220666 | 0.1634427 | 0.0539143 | 0.1935897 | 0.1833799
Statin use | -0.0768135 | -0.0407714 | 0.0117504 | -0.0025063 |  |  | 0.0242915 | 0.0214637 | -0.0118966 | -0.0188846
Treated SBP ≥110 mm Hg per 20 mm Hg | -0.0557282 | -0.0365522 | -0.0331945 | -0.0256116 | -0.0880321 | -0.0436769 | -0.0836302 | -0.0603516 | -0.0056774 | 0.0181289
Treated non-HDL-C | 0.0917585 | 0.1232822 | 0.0664311 | 0.0886745 |  |  | 0.0714966 | 0.0616356 | 0.0598872 | 0.1258208
Age per 10yr * non-HDL-C per 1 mmol/L | -0.0679131 | -0.0441334 | -0.0492826 | -0.0254507 |  |  | -0.0586624 | -0.0517511 | -0.0343871 | 0.0267826
Age per 10yr * HDL-C per 1 mml/L | 0.029076 | 0.0177865 | 0.0288888 | 0.0244639 |  |  | 0.0469044 | 0.0506964 | 0.013539 | -0.0116181
Age per 10yr * SBP ≥110 mm Hg per 20 mmHg | -0.0907755 | -0.1046657 | -0.0964709 | -0.0869146 | -0.0863132 | -0.1168376 | -0.0777709 | -0.0754965 | -0.1102987 | -0.1063796
